pdb_id,EC
1a05,1
1a27,1
1a2f,1
1a2g,1
1a2v,1
1a4e,1
1a4s,1
1a4u,1
1a4z,1
1a5z,1
1a65,1
1a71,1
1a72,1
1a7k,1
1a7u,1
1a80,1
1a88,1
1a8p,1
1a8s,1
1a8u,1
1aa4,1
1aa6,1
1abn,1
1ac4,1
1ac8,1
1ad3,1
1adb,1
1adc,1
1adf,1
1adg,1
1ads,1
1ae1,1
1ae4,1
1aeb,1
1aed,1
1aee,1
1aef,1
1aeg,1
1aeh,1
1aej,1
1aek,1
1aem,1
1aen,1
1aeo,1
1aeq,1
1aes,1
1aet,1
1aeu,1
1aev,1
1afr,1
1afs,1
1aft,1
1ag8,1
1agn,1
1ah0,1
1ah3,1
1ah4,1
1ahh,1
1ahi,1
1ahu,1
1ahv,1
1ahz,1
1ai2,1
1ai3,1
1ai9,1
1ak5,1
1akd,1
1al7,1
1al8,1
1alg,1
1amo,1
1an9,1
1ao8,1
1aoe,1
1aof,1
1aog,1
1aom,1
1aop,1
1aoq,1
1aor,1
1aoz,1
1ap5,1
1ap6,1
1apx,1
1aq8,1
1ar1,1
1ar4,1
1ar5,1
1arp,1
1aru,1
1arv,1
1arw,1
1arx,1
1ary,1
1arz,1
1as6,1
1as7,1
1as8,1
1aso,1
1asp,1
1asq,1
1atj,1
1aup,1
1av4,1
1av8,1
1avk,1
1avl,1
1avm,1
1axe,1
1axg,1
1az1,1
1az2,1
1azv,1
1b06,1
1b0p,1
1b14,1
1b15,1
1b16,1
1b1c,1
1b26,1
1b2l,1
1b2r,1
1b37,1
1b3b,1
1b3i,1
1b3o,1
1b4l,1
1b4t,1
1b4u,1
1b4v,1
1b5q,1
1b5t,1
1b7g,1
1b80,1
1b82,1
1b85,1
1b8p,1
1b8q,1
1b8s,1
1b8u,1
1b8v,1
1ba3,1
1ba9,1
1bcc,1
1bcf,1
1bdb,1
1bdm,1
1be3,1
1bej,1
1bek,1
1bem,1
1bep,1
1beq,1
1bes,1
1bf3,1
1bfr,1
1bfy,1
1bg7,1
1bgj,1
1bgn,1
1bgp,1
1bgv,1
1bgy,1
1bhs,1
1bhy,1
1bi9,1
1biq,1
1bj9,1
1bjk,1
1bk0,1
1bkj,1
1bkw,1
1bl5,1
1bl9,1
1blz,1
1bmd,1
1bou,1
1boz,1
1bpw,1
1bqe,1
1brl,1
1brm,1
1bro,1
1bs3,1
1bsl,1
1bsm,1
1bsv,1
1bt1,1
1bt2,1
1bt3,1
1bt8,1
1bto,1
1bu7,1
1buc,1
1bug,1
1bva,1
1bvr,1
1bvu,1
1bvy,1
1bw9,1
1bwc,1
1bwk,1
1bwl,1
1bws,1
1bx0,1
1bx1,1
1bxg,1
1bxs,1
1bxz,1
1bzf,1
1bzl,1
1bzo,1
1c0i,1
1c0k,1
1c0l,1
1c0p,1
1c14,1
1c1d,1
1c1x,1
1c3v,1
1c4a,1
1c4c,1
1c8i,1
1c8j,1
1c9u,1
1c9w,1
1cb4,1
1cbj,1
1cbo,1
1cc1,1
1cc2,1
1cc4,1
1cc6,1
1cca,1
1ccb,1
1ccc,1
1cce,1
1ccg,1
1cci,1
1ccj,1
1cck,1
1ccl,1
1ccp,1
1cd2,1
1cdo,1
1ceq,1
1cer,1
1cet,1
1cf2,1
1cf3,1
1cf9,1
1chu,1
1ci0,1
1civ,1
1cj2,1
1cj3,1
1cj4,1
1cjc,1
1cjx,1
1ck6,1
1cl0,1
1cl6,1
1cm7,1
1cmi,1
1cmj,1
1cmn,1
1cmp,1
1cmq,1
1cmt,1
1cmu,1
1cne,1
1cnf,1
1cnz,1
1cob,1
1coj,1
1coy,1
1cp2,1
1cp4,1
1cpd,1
1cpe,1
1cpf,1
1cpg,1
1cpo,1
1cpt,1
1cq1,1
1cqe,1
1cru,1
1crw,1
1cvu,1
1cw1,1
1cw3,1
1cw4,1
1cw7,1
1cwn,1
1cwu,1
1cx2,1
1cxp,1
1cyd,1
1cyf,1
1cyw,1
1cyx,1
1cz3,1
1d0c,1
1d0o,1
1d1g,1
1d1s,1
1d1t,1
1d1v,1
1d1w,1
1d1x,1
1d1y,1
1d2u,1
1d2v,1
1d3a,1
1d3g,1
1d3h,1
1d3s,1
1d4a,1
1d4c,1
1d4d,1
1d4e,1
1d4o,1
1d5l,1
1d5n,1
1d6u,1
1d6y,1
1d6z,1
1d7b,1
1d7c,1
1d7d,1
1d7l,1
1d7o,1
1d7w,1
1d8a,1
1daj,1
1dao,1
1dap,1
1dbv,1
1dc3,1
1dc4,1
1dc5,1
1dc6,1
1dcc,1
1dcs,1
1dd7,1
1ddg,1
1ddi,1
1ddo,1
1ddr,1
1dds,1
1ddx,1
1de0,1
1deh,1
1df1,1
1df7,1
1dfg,1
1dfh,1
1dfi,1
1dfx,1
1dg5,1
1dg7,1
1dg8,1
1dgb,1
1dgf,1
1dgg,1
1dgh,1
1dgj,1
1dhf,1
1dhi,1
1dhj,1
1dhr,1
1dht,1
1dhy,1
1dih,1
1dii,1
1diq,1
1dir,1
1dis,1
1diu,1
1diy,1
1dj1,1
1dj5,1
1dj7,1
1djl,1
1djn,1
1djq,1
1dla,1
1dli,1
1dlj,1
1dlm,1
1dlq,1
